Model,Spearman_Correlation,P_Value,Abs_Correlation
staged_composite_condition_1_score,-0.16537981742430238,0.006658884371988254,0.16537981742430238
optimized_composite_condition_1_score,-0.14999809855945614,0.013970578004658306,0.14999809855945614
cdr3_pretrained_score,-0.08190159016537545,0.18129886817545154,0.08190159016537545
tcr_pretrained_score,-0.04965440538837078,0.4181829818129562,0.04965440538837078
update_model_score,0.025941883249056913,0.6724608773507799,0.025941883249056913
ori_model_score,-0.00293632293816827,0.9618396987660276,0.00293632293816827
