model,pearson_r,spearman_r,r_squared,rmse,roc_auc,pr_auc,accuracy,macro_f1
ori_model,0.026339853151603074,-0.00293632293816827,0.0006937878640479456,0.3827653951591108,,0.5,0.5,0.3333333333333333
update_model,0.032161545060267964,0.025941883249056913,0.0010343649806638933,0.38270016378050814,,0.5,0.5,0.3333333333333333
cdr3_pretrained,-0.05811950696712441,-0.08190159016537545,0.003377877090101733,0.3822510046449914,,0.5,0.5,0.3333333333333333
tcr_pretrained,-0.018596467782248924,-0.04965440538837078,0.0003458286139762512,0.3828320289728101,,0.5,0.5,0.3333333333333333
optimized_composite_condition_1,-0.1388656929941695,-0.14999809855945614,0.019283680690750926,0.37918842776536044,,0.5,0.5,0.3333333333333333
staged_composite_condition_1,-0.14579504039030408,-0.16537981742430238,0.021256193802410617,0.3788069053009905,,0.5,0.5,0.3333333333333333
