model,roc_auc,pr_auc,threshold,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,macro_precision,macro_recall,macro_f1
ori_model,,0.5,-1.212821125984192,0.5,1.0,0.5,0.6666666666666666,0.0,0.0,0.0,0.5,0.25,0.3333333333333333
update_model,,0.5,-1.0195187330245972,0.5,1.0,0.5,0.6666666666666666,0.0,0.0,0.0,0.5,0.25,0.3333333333333333
cdr3_pretrained,,0.5,-1.5678777694702148,0.5,1.0,0.5,0.6666666666666666,0.0,0.0,0.0,0.5,0.25,0.3333333333333333
tcr_pretrained,,0.5,-1.4847860932350159,0.5,1.0,0.5,0.6666666666666666,0.0,0.0,0.0,0.5,0.25,0.3333333333333333
optimized_composite_condition_1,,0.5,-6.3348681926727295,0.5,1.0,0.5,0.6666666666666666,0.0,0.0,0.0,0.5,0.25,0.3333333333333333
staged_composite_condition_1,,0.5,-7.530507564544678,0.5,1.0,0.5,0.6666666666666666,0.0,0.0,0.0,0.5,0.25,0.3333333333333333
