model,pearson_r,pearson_p,spearman_r,spearman_p,r_squared,rmse,slope,intercept
staged_composite_condition_1,-0.14579504039030408,0.016922511857904658,-0.16537981742430238,0.006658884371988254,0.021256193802410617,0.3788069053009905,-0.02621723934055093,-0.20773297480588548
optimized_composite_condition_1,-0.1388656929941695,0.02298219248224279,-0.14999809855945614,0.013970578004658306,0.019283680690750926,0.37918842776536044,-0.03403162859902231,-0.2203839149303937
cdr3_pretrained,-0.05811950696712441,0.3432254512818194,-0.08190159016537545,0.18129886817545154,0.003377877090101733,0.3822510046449914,-0.06961176492805204,-0.11800728293646065
update_model,0.032161545060267964,0.6001520960063826,0.025941883249056913,0.6724608773507799,0.0010343649806638933,0.38270016378050814,0.03605801143801078,0.032193986061708445
ori_model,0.026339853151603074,0.6677333408008855,-0.00293632293816827,0.9618396987660276,0.0006937878640479456,0.3827653951591108,0.03300563265193078,0.03547775636402745
tcr_pretrained,-0.018596467782248924,0.7618589967731341,-0.04965440538837078,0.4181829818129562,0.0003458286139762512,0.3828320289728101,-0.01711900680676092,-0.033258590694383965
