Model,Mask_Ratio,Avg_Recovery_Acc,Std_Recovery_Acc,Avg_NLL,Std_NLL,Avg_Perplexity,Std_Perplexity,Num_Samples
Optimized Composite,0.1,0.4438,0.4956,7.2377,6.9469,116373534.361,1533636297.9222,400
Optimized Composite,0.3,0.4655,0.2587,6.9869,3.5658,369925.0041,4899590.6172,400
Optimized Composite,0.5,0.4663,0.187,7.0341,2.5173,19424.13,84066.3148,400
Staged Composite,0.1,0.41,0.4912,5.8837,5.443,1913341.977,22816595.3296,400
Staged Composite,0.3,0.4496,0.2728,5.3431,2.8712,7285.9699,34236.9287,400
Staged Composite,0.5,0.4474,0.1958,5.4044,2.1135,1829.0034,6641.3661,400
