column,count,n_nan,mean,std,min,max
beta_full_sequence,0,100,,0.0,,
beta_length,100,0,12.24,1.5898669025037184,10.0,16.0
confidence,100,0,0.7153066229820252,0.036306845816096514,0.635790228843689,0.8011597990989685
composite_score,100,0,0.7422139724212639,0.05151142372693015,0.6569374048238225,0.909099452180628
vj_confidence,100,0,0.98765,0.05519686987904699,0.6799999999999999,1.0
rescored_nll,77,23,1.2471726654003323,1.3519872765777994,0.00017998983094,5.542132377624512
rescored_confidence,77,23,0.7376293377442793,0.04797741384703522,0.632688581943512,0.8439253568649292
